,time_period,new_ent,type,count,proportion_perc,perc_change
0,2024-06-24/2024-06-30,) MODELLING,H_SKILL,1,0.005199126546740148,0.0
1,2024-06-24/2024-06-30,"*, *383",S_SKILL,1,0.005199126546740148,0.0
2,2024-06-24/2024-06-30,*2024,S_SKILL,1,0.005199126546740148,0.0
3,2024-06-24/2024-06-30,", INSPIRING, AND THOUGHT",S_SKILL,1,0.005199126546740148,0.0
4,2024-06-24/2024-06-30,", OR PROVEN DEVELOPMENT EXPERIENCE",S_SKILL,1,0.005199126546740148,0.0
5,2024-06-24/2024-06-30,-END AUTOMATION SOLUTION,H_SKILL,1,0.005199126546740148,0.0
6,2024-06-24/2024-06-30,-END FEATURES,H_SKILL,2,0.010398253093480296,0.0
7,2024-06-24/2024-06-30,-END IMPLEMENTATION,H_SKILL,1,0.005199126546740148,0.0
8,2024-06-24/2024-06-30,-END PROCUREMENT,H_SKILL,1,0.005199126546740148,0.0
9,2024-06-24/2024-06-30,-END REAL TIME,H_SKILL,1,0.005199126546740148,0.0
10,2024-06-24/2024-06-30,-END SOFTWARE DEVELOPMENT LIFECYCLE,H_SKILL,1,0.005199126546740148,0.0
11,2024-06-24/2024-06-30,-END SOFTWARE LIFECYCLES,H_SKILL,1,0.005199126546740148,0.0
12,2024-06-24/2024-06-30,-END SOFTWARE SOLUTIONS,H_SKILL,1,0.005199126546740148,0.0
13,2024-06-24/2024-06-30,-END TECHNICAL ARCHITECTURE AND DEPENDENCY SYSTEMS,H_SKILL,1,0.005199126546740148,0.0
14,2024-06-24/2024-06-30,-END TEST APPROACH,H_SKILL,1,0.005199126546740148,0.0
15,2024-06-24/2024-06-30,-END TESTS,H_SKILL,1,0.005199126546740148,0.0
16,2024-06-24/2024-06-30,-END TRACKING & INSIGHT GATHERING IMPLEMENTATION PROCESS,H_SKILL,1,0.005199126546740148,0.0
17,2024-06-24/2024-06-30,-FUNCTIONAL INTEGRATION,H_SKILL,1,0.005199126546740148,0.0
18,2024-06-24/2024-06-30,.NET,LANG_FRAM,45,0.23396069460330662,0.0
19,2024-06-24/2024-06-30,.NET CORE,LANG_FRAM,4,0.020796506186960592,0.0
20,2024-06-24/2024-06-30,/APPARATUS,S_SKILL,1,0.005199126546740148,0.0
21,2024-06-24/2024-06-30,0-3,H_SKILL,1,0.005199126546740148,0.0
22,2024-06-24/2024-06-30,140.60,LANG_FRAM,1,0.005199126546740148,0.0
23,2024-06-24/2024-06-30,1:1 COACHING,REQUIREMENT,1,0.005199126546740148,0.0
24,2024-06-24/2024-06-30,"2,000USD",LANG_FRAM,4,0.020796506186960592,0.0
25,2024-06-24/2024-06-30,2-3 YEARS OF POST-UNIVERSITY,S_SKILL,1,0.005199126546740148,0.0
26,2024-06-24/2024-06-30,2.1,H_SKILL,1,0.005199126546740148,0.0
27,2024-06-24/2024-06-30,22/04/2025,LANG_FRAM,1,0.005199126546740148,0.0
28,2024-06-24/2024-06-30,240003PL,LANG_FRAM,1,0.005199126546740148,0.0
29,2024-06-24/2024-06-30,2:1,LANG_FRAM,2,0.010398253093480296,0.0
30,2024-06-24/2024-06-30,2:1,REQUIREMENT,107,0.5563065405011958,0.0
31,2024-06-24/2024-06-30,2:2,REQUIREMENT,34,0.176770302589165,0.0
32,2024-06-24/2024-06-30,360 DATA,LANG_FRAM,1,0.005199126546740148,0.0
33,2024-06-24/2024-06-30,3D COMMUNICATION,H_SKILL,1,0.005199126546740148,0.0
34,2024-06-24/2024-06-30,3D MODELLING,H_SKILL,3,0.015597379640220442,0.0
35,2024-06-24/2024-06-30,3D MODELS,H_SKILL,1,0.005199126546740148,0.0
36,2024-06-24/2024-06-30,3D PRINTING,H_SKILL,2,0.010398253093480296,0.0
37,2024-06-24/2024-06-30,46.00,S_SKILL,1,0.005199126546740148,0.0
38,2024-06-24/2024-06-30,5.0,LANG_FRAM,1,0.005199126546740148,0.0
39,2024-06-24/2024-06-30,A PROVEN TEAM PLAYER,H_SKILL,1,0.005199126546740148,0.0
40,2024-06-24/2024-06-30,AAPS,LANG_FRAM,9,0.04679213892066133,0.0
41,2024-06-24/2024-06-30,ABILITY,S_SKILL,2,0.010398253093480296,0.0
42,2024-06-24/2024-06-30,ABILITY IN MAINSTREAM GIS SOFTWARE,H_SKILL,1,0.005199126546740148,0.0
43,2024-06-24/2024-06-30,ABILITY TO ACCEPT A CHANGE IN PRIORITIES AS NECESSARY,S_SKILL,1,0.005199126546740148,0.0
44,2024-06-24/2024-06-30,"ABILITY TO ANALYZE COMPLEX DATASETS, IDENTIFY TRENDS, AND EXTRACT MEANINGFUL INSIGHTS",H_SKILL,1,0.005199126546740148,0.0
45,2024-06-24/2024-06-30,ABILITY TO ANALYZE QUANTITATIVE AND QUALITATIVE DATA,H_SKILL,1,0.005199126546740148,0.0
46,2024-06-24/2024-06-30,ABILITY TO ANSWER SIMPLE QUESTIONS,S_SKILL,1,0.005199126546740148,0.0
